parameter,value
b01_pop,4.71373181733871
b11_pop,-0.113570163526554
b21_pop,-0.118673609310462
a1_pop,3.71301103454088
b02_pop,7.40195430928148
b12_pop,0.00303622679509298
b03_pop,4.25412574291514
b13_pop,-0.154136566495201
p1_pop,0.0344863733538137
g1_pop,0.0948089419247813
p2_pop,0.767792814109032
g2_pop,0.115377793236269
alpha11_pop,0.146627466857509
alpha12_pop,-13.0552714760832
alpha13_pop,0.709529146875864
alpha21_pop,-0.134881179973991
alpha22_pop,5.52133565190572
alpha23_pop,-0.143092913515296
omega_b01,2.08074503924926
omega_b11,0.0908642818910656
omega_b21,0.0361582289457305
omega_a1,0.945446196403593
omega_b02,0.0395848553970256
omega_b12,0.00564805756566192
omega_b03,0.945569594241334
omega_b13,0.163934521177021
b_1,0.302827810647435
a_2,0.0486851807975962
a_3,0.708467529527092
