rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
1,1,1.44043592809502,0.0358303051772683,4.18133193631244e-06,2.3035371465271,0,0,0,0,0,0
2,1,0.904075899021921,-0.0382284550046758,0.0231174018634033,-0.787489713353716,0,0,0,0,0,0
1,2,-2.51661613819113,0.0267521150505533,-0.0357368212843638,0.149553546394102,0,0,0,0,0,0
2,2,-1.65248247359345,0.103553693444194,0.11307300460827,-0.585154955754349,0,0,0,0,0,0
1,3,-1.89652148899835,0.173889538506716,0.138535184483013,-2.07711373722338,0,0,0,0,0,0
2,3,-1.63133847654311,-0.221221587888014,0.0484237782535051,-1.80926273765907,0,0,0,0,0,0
1,4,-1.02724009357598,0.0590367007633212,0.119305140979951,-0.394353671563654,0,0,0,0,0,0
2,4,-0.504236964688821,-0.156088319710557,-0.157662084680536,0.344237782663264,0,0,0,0,0,0
1,5,2.64543281489777,-0.105554068554012,0.0166186310550517,0.541569125969202,0,0,0,0,0,0
2,5,1.76922269643147,0.0902037085729702,-0.0486324006184518,-1.01754997780566,0,0,0,0,0,0
1,6,2.47292178438696,-0.129080598863,0.0841357592701969,-0.206361393236257,0,0,0,0,0,0
2,6,0.55572585339964,0.0309560631656804,-0.0495563069072326,-0.439052957541888,0,0,0,0,0,0
1,7,-1.19701969359602,-0.0599700865936567,-0.150536648073602,0.49280060317016,0,0,0,0,0,0
2,7,1.12556089164354,-0.0563399302741969,0.118231081323825,-0.098701417999554,0,0,0,0,0,0
1,8,1.44330158169184,-0.109836853225842,-0.110834678969207,1.35533362899425,0,0,0,0,0,0
2,8,1.07444928378386,0.0544467073201329,-0.0507194431389938,0.125291048893707,0,0,0,0,0,0
1,9,-0.675647935792513,0.122149983311999,-0.119472647520072,-1.53877134713393,0,0,0,0,0,0
2,9,-1.31327702682009,-0.0737032950850721,-0.180156712100666,-1.11642337703756,0,0,0,0,0,0
1,10,0.58502867295422,0.0354554912932996,0.0140213316693947,-0.320184932228227,0,0,0,0,0,0
2,10,1.59268705828912,0.187787178726396,-0.114147162718341,0.0685625619837766,0,0,0,0,0,0
1,11,2.69295953968811,-0.148651874802864,-0.0874168025714289,-1.7858445724187,0,0,0,0,0,0
2,11,2.65297973288433,0.0369821766932018,0.0772410812035953,-1.12125189647461,0,0,0,0,0,0
1,12,0.204245932329414,-0.0162599330064187,-0.0531222721908236,0.0845333087413214,0,0,0,0,0,0
2,12,-1.36508722460084,-0.146454451932545,-0.0400201006300429,0.741798316412949,0,0,0,0,0,0
1,13,1.24501162782565,0.150152945328748,-0.0168624216191966,0.968214461052316,0,0,0,0,0,0
2,13,2.94687955816677,0.192062981189626,-0.132900261086762,0.197535596405141,0,0,0,0,0,0
1,14,-2.03726741643346,0.176711348611571,0.13460201620225,1.24370332008786,0,0,0,0,0,0
2,14,-0.883612312555083,0.139484357029575,-0.0862620378925071,1.14046460939824,0,0,0,0,0,0
1,15,1.66761637579591,0.0185012082835641,0.00606054632507162,0.273214623286424,0,0,0,0,0,0
2,15,0.619051277549072,0.120102377486446,-0.0407727574396977,2.17586670246135,0,0,0,0,0,0
1,16,1.96487927061175,-0.0048670896550634,0.146481626321133,0.0932241376751134,0,0,0,0,0,0
2,16,0.747323028034077,-0.00252532998807731,0.0912450999699872,1.48862341120496,0,0,0,0,0,0
1,17,1.71961392919914,-0.0976219593463396,-0.109591773919509,-0.847871337061854,0,0,0,0,0,0
2,17,1.01887669205473,0.0895866293498594,0.0375298984728818,-0.601144131399305,0,0,0,0,0,0
1,18,-1.36568627743936,-0.0740953076709607,-0.00327776069226193,-1.52259419432443,0,0,0,0,0,0
2,18,-1.70748022694155,0.108776604909741,0.069645340692235,-2.30736758813393,0,0,0,0,0,0
1,19,3.13577105683918,-0.0624966838276149,-0.00618849717001644,-0.589571187716464,0,0,0,0,0,0
