id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha21_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha21_mean,b01_mode,b11_mode,b21_mode,a1_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha21_mode,b01_sd,b11_sd,b21_sd,a1_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha21_sd
109,7.07188,-0.108143,-0.179591,4.57356,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.94833,-0.0985856,-0.186903,4.97502,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.56035,-0.0873636,-0.180717,4.66216,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.904517,0.0823375,0.0774672,5.82115,0,0,0,0,0,0
110,1.67882,-0.127155,-0.151312,3.8295,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,1.66782,-0.137629,-0.158998,4.29757,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.29112,-0.131275,-0.154254,3.26013,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.658215,0.0786406,0.080986,4.80625,0,0,0,0,0,0
111,5.0251,-0.112328,-0.172056,4.04157,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.98528,-0.0924873,-0.170885,3.45822,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.20321,-0.0562723,-0.150952,4.06669,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.798637,0.0914479,0.0668238,3.83298,0,0,0,0,0,0
112,4.87512,-0.134533,-0.156746,6.35757,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.71138,-0.13552,-0.153101,5.49971,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.44058,-0.125855,-0.158346,3.29085,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.05162,0.0890106,0.0847578,6.43322,0,0,0,0,0,0
113,3.6653,-0.100072,-0.176004,4.59973,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.63524,-0.11308,-0.178641,4.20082,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.05408,-0.086114,-0.186294,5.06177,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.923834,0.0942149,0.0775705,3.90268,0,0,0,0,0,0
114,7.1936,-0.155562,-0.134886,5.41196,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,7.21997,-0.16344,-0.137113,4.68454,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,7.04889,-0.166944,-0.098581,5.7152,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.911965,0.0934325,0.0863682,5.13966,0,0,0,0,0,0
115,4.30239,-0.0986296,-0.183893,4.18394,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.23393,-0.098186,-0.188541,4.96097,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.59221,-0.042791,-0.177058,6.10132,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.900119,0.0719284,0.0725086,5.42652,0,0,0,0,0,0
116,2.96754,-0.211928,-0.0764237,12.3538,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.90408,-0.212085,-0.0646653,10.6774,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.81293,-0.211649,-0.08202,11.2298,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.67124,0.0395147,0.020277,3.66101,0,0,0,0,0,0
117,3.17615,-0.097495,-0.23822,11.9507,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.41572,-0.0971843,-0.233554,10.6359,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,2.54063,-0.084175,-0.208668,11.9899,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.824863,0.0421367,0.0562041,6.4837,0,0,0,0,0,0
118,5.38328,-0.131287,-0.238358,9.22983,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.45406,-0.123629,-0.226352,8.713,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.44871,-0.119792,-0.242018,11.3708,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.02684,0.0536918,0.0729262,8.51409,0,0,0,0,0,0
