rep,id,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,75.5695071230832,0.507013000125745,3.55419976054092,-0.398964421079626,0,0,0,0,0,0,11
2,1,105.820605488691,-0.165014393026885,-2.33146280309049,0.130745009911089,0,0,0,0,0,0,11
3,1,112.818947338799,-0.280865722125381,0.715797268951745,-3.37104065487689,0,0,0,0,0,0,11
4,1,74.8882784814882,0.0390184674624339,2.59642491420792,-0.274358266301748,0,0,0,0,0,0,11
5,1,86.2217577313758,-0.270660646827385,1.24367389797082,0.100364489938174,0,0,0,0,0,0,11
6,1,103.83755890897,-0.205631411965354,-1.77223538255831,1.09815472835268,0,0,0,0,0,0,11
7,1,95.6895287508973,-0.365580264204689,-1.27767199295551,-0.0182428030238819,0,0,0,0,0,0,11
8,1,78.6443446007449,0.171412018766608,1.67409438243328,1.0994410875514,0,0,0,0,0,0,11
9,1,78.3896005881587,-0.180322538278531,-2.25736029068528,-0.0565170919700391,0,0,0,0,0,0,11
10,1,93.5491965667669,0.0875875982512876,3.78265694130348,-0.0146684903174821,0,0,0,0,0,0,11
1,2,-14.118765323321,0.735968572292781,1.87503289709286,-3.76840085986832,0,0,0,0,0,0,5
2,2,-12.6939625402061,-0.589678390439077,-1.71269479719263,1.02449139602316,0,0,0,0,0,0,5
3,2,-16.610872590815,-0.355644732915641,-2.46009363470216,-2.97170852946569,0,0,0,0,0,0,5
4,2,-18.8876821255285,-0.392796419727296,0.984744855843305,0.501252511446263,0,0,0,0,0,0,5
5,2,-14.4640881517738,-0.192005409056733,-3.27397355861172,-2.97489137529487,0,0,0,0,0,0,5
6,2,12.5270274660434,-0.375529631028744,0.654356579609715,-0.866610133085807,0,0,0,0,0,0,5
7,2,21.8730755997716,0.197906022915832,2.37627560281666,0.0155531643143432,0,0,0,0,0,0,5
8,2,4.37452638155565,0.10675548885101,3.77180276643533,-2.59824726438712,0,0,0,0,0,0,5
9,2,17.630716689492,0.0255985710686676,0.771032536736175,0.49863944163553,0,0,0,0,0,0,5
10,2,-24.6545314875301,-0.143116150400885,-0.585511229150885,-2.56001943475413,0,0,0,0,0,0,5
1,3,43.8350323292376,0.181684259538142,0.771230225220657,-0.321718744105164,0,0,0,0,0,0,6
2,3,-1.06870740140658,0.211514832177073,-1.14353978109029,0.213279519958098,0,0,0,0,0,0,6
3,3,0.766146372734759,-0.0848586613671645,2.29242782302765,1.56114933125469,0,0,0,0,0,0,6
4,3,33.8610751486232,0.162760049150983,2.41478460403976,-0.568995904217835,0,0,0,0,0,0,6
