parameter,value
b01_pop,4.5729885031552
b11_pop,-0.117707612895694
b21_pop,-0.145592172574539
a1_pop,4.24736884234478
b02_pop,7.39804931757082
b12_pop,0.002741259336397
b03_pop,4.16658421824751
b13_pop,-0.141232829745783
p1_pop,0.00622488745897251
g1_pop,0.169023331164499
p2_pop,0.793902544940345
g2_pop,0.134813263318689
alpha11_pop,0.294638781691519
alpha12_pop,-21.6119633616127
alpha13_pop,1.02217304824694
alpha21_pop,-0.122037461619581
alpha22_pop,2.67377929234001
alpha23_pop,-0.212960743360676
omega_b01,2.08687726574417
omega_b11,0.101793931347178
omega_b21,0.0749460211405786
omega_a1,1.0518062528897
omega_b02,0.040033192217491
omega_b12,0.00499590695261394
omega_b03,0.872488751613203
omega_b13,0.146683143886221
b_1,0.321231384451941
a_2,0.0501255638193377
a_3,0.711965824543802
