parameter,value
b01_pop,4.72129065776002
b11_pop,-0.125819638022672
b21_pop,-0.136437545107172
a1_pop,6.22023996485779
b02_pop,7.40006314165832
b12_pop,0.00262855464515994
b03_pop,4.10129991532769
b13_pop,-0.157208928092757
p1_pop,0.0518247746973085
g1_pop,0.0684744350983044
p2_pop,0.725003750365002
g2_pop,0.141753212008227
alpha11_pop,0.166747135907419
alpha12_pop,-12.7166866521102
alpha13_pop,0.621073276368474
alpha21_pop,-0.0791184299621776
alpha22_pop,-0.0027544826460527
alpha23_pop,-0.257938970079034
omega_b01,2.03523171045785
omega_b11,0.100549348949634
omega_b21,0.0462251542718067
omega_a1,0.739548349025863
omega_b02,0.038766635733348
omega_b12,0.0048351750960544
omega_b03,0.935095269172291
omega_b13,0.168628550014561
b_1,0.299907930887115
a_2,0.0509747139113935
a_3,0.707819967998012
